RICE HARVEST PRICE ,PADDY HARVEST PRICE ,WHEAT HARVEST PRICE ,SORGHUM HARVEST PRICE ,PEARL MILLET HARVEST PRICE ,MAIZE HARVEST PRICE,FINGER MILLET HARVEST PRICE ,BARLEY HARVEST PRICE ,CHICKPEA HARVEST PRICE ,PIGEONPEA HARVEST PRICE ,GROUNDNUT HARVEST PRICE ,SEASMUM HARVEST PRICE ,RAPE AND MUSTARD HARVEST PRICE ,CASTOR HARVEST PRICE ,SUGARCANE GUR HARVEST PRICE ,COTTON KAPAS HARVEST PRICE 
-1,-1,798,-1,-1,448,1000,-1,1321,1666,1497,1850,1643,-1,1491,-1
-1,483,864,-1,-1,655,1000,-1,-1,1472,1303,1787,-1,-1,1386,-1
-1,506,843,-1,-1,470,-1,-1,1787,1379,1340,1636,1844,-1,1345,-1
-1,366,801,-1,-1,550,-1,-1,1962,-1,1288,1899,-1,-1,1525,-1
-1,441,823,-1,-1,556,-1,-1,1954,1386,1357,1955,2262,-1,1399,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
857,533,794,-1,522,-1,-1,-1,1559,1519,1920,3053,2298,-1,1672,-1
911,584,877,-1,-1,-1,-1,-1,2247,1845,1465,2661,2383,-1,1875,-1
997,615,1169,-1,-1,619,-1,-1,2713,2268,1261,3017,2336,-1,-1,-1
1045,733,1469,-1,-1,963,-1,-1,2973,2934,1889,3004,3018,-1,-1,-1
1211,899,1330,-1,-1,967,-1,-1,3217,3158,2144,4736,3509,-1,2226,-1
1680,1035,1715,-1,-1,1389,-1,-1,3033,4625,2806,5974,7749,-1,2824,-1
1520,1240,-1,-1,-1,1000,-1,-1,-1,4500,2954,5160,5500,-1,3782,-1
1657,985,-1,-1,-1,1100,-1,-1,-1,4613,3523,5044,-1,-1,4062,-1
1833,1279,1879,-1,-1,1168,-1,-1,4624,5174,3849,6365,4408,-1,4454,-1
1956,1410,1991,-1,-1,1238,-1,-1,4097,5008,3903,8667,4788,-1,4301,-1
